Sector90,NewTAZ_ID,growthClas,SuperTAZ_1,Geo_1,Year_1,SFDU_1,MFDU_1,GQDU_1,,,
43,4750,median growth,T26,4750,2045,2195,0,0,,,
43,4739,decline,T26,4739,2045,710,0,0,,,
43,4749,low growth,T26,4749,2045,696,0,0,,,
43,4748,decline,T26,4748,2045,262,0,0,,,
43,4755,decline,T26,4755,2045,336,0,0,,,
43,4736,decline,T26,4736,2045,235,0,0,,,
43,4741,decline,T26,4741,2045,213,0,0,,,
43,4747,median high,T26,4747,2045,2582,230,0,,,
43,4735,decline,T26,4735,2045,833,0,0,,,
43,4742,low growth,T26,4742,2045,1485,0,0,,,
43,4740,decline,T26,4740,2045,1375,0,0,,,
43,4737,decline,T26,4737,2045,1156,0,0,,,
43,4738,decline,T26,4738,2045,2060,0,0,,,
43,4744,decline,T26,4744,2045,628,102,0,,,
43,4752,decline,T26,4752,2045,491,153,0,,,
43,4745,low growth,T26,4745,2045,758,0,0,,,
43,4746,low growth,T26,4746,2045,280,0,0,,,
43,4743,decline,T26,4743,2045,327,0,0,,,
43,4734,decline,T26,4734,2045,1622,0,0,,,
43,4753,decline,T26,4753,2045,152,0,0,,,
43,4751,decline,T26,4751,2045,353,0,0,,,
42,4664,low growth,T26,4664,2045,1667,0,0,,,
42,4655,decline,T26,4655,2045,1556,0,0,,,
42,4652,decline,T26,4652,2045,2034,0,0,,,
42,4665,decline,T26,4665,2045,910,528,0,,,
42,4671,low growth,T26,4671,2045,644,0,0,,,
42,4661,decline,T26,4661,2045,468,0,0,,,
42,4663,decline,T26,4663,2045,950,0,0,,,
42,4668,low growth,T26,4668,2045,359,0,0,,,
42,4662,no change,T26,4662,2045,218,0,0,,,
42,4670,decline,T26,4670,2045,62,204,0,,,
42,4669,low growth,T26,4669,2045,690,0,0,,,
42,4654,decline,T26,4654,2045,99,0,0,,,
42,4666,low growth,T26,4666,2045,634,0,0,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
