Geo,Year,SFDU,MFDU,GQDU
48157675502,2019,4598,798,0
48157675503,2019,4641,0,0
48157675600,2019,2474,1,0
48157675701,2019,1741,7,0
48157675702,2019,1119,1,0
48157675800,2019,1815,1,0
48167720100,2019,2378,311,0
48167720200,2019,1910,276,0
48167720301,2019,694,87,0
48167720302,2019,2426,0,0
48167720400,2019,2858,114,0
48167720501,2019,1240,0,0
48167720504,2019,374,0,0
48167720505,2019,1309,0,0
48167720506,2019,1644,0,0
48167720507,2019,1641,0,0
48167720508,2019,723,0,0
48167720509,2019,860,50,0
48167720510,2019,1004,58,0
48167720511,2019,1189,0,0
48167720512,2019,650,0,0
48167720601,2019,895,202,0
48167720602,2019,1362,10,0
48167720603,2019,1048,519,0
48167720604,2019,943,0,0
48167720605,2019,1077,0,0
48167720701,2019,972,586,0
48167720702,2019,1130,495,0
48167720703,2019,739,582,0
48167720800,2019,1470,14,0
48167720900,2019,1432,832,0
48167721000,2019,724,736,0
48167721101,2019,560,674,0
48167721102,2019,1186,792,0
48167721103,2019,787,1747,0
48167721203,2019,502,392,0
48167721204,2019,593,1309,0
48167721205,2019,1546,69,0
48167721206,2019,1564,175,0
48167721207,2019,1257,497,0
48167721208,2019,369,163,0
48167721209,2019,911,56,0
48167721210,2019,901,19,0
48167721211,2019,1325,47,0
48167721301,2019,1420,181,0
48167721302,2019,570,621,0
48167721401,2019,944,22,0
48167721402,2019,35,487,0
48167721403,2019,1270,954,0
48167721501,2019,643,383,0
48167721502,2019,923,361,0
48167721503,2019,822,53,0
48167721600,2019,757,34,0
48167721701,2019,874,14,0
48167721702,2019,641,12,0
48167721703,2019,1606,0,0
48167721800,2019,2331,0,0
48167721901,2019,928,399,0
48167721902,2019,1447,1194,0
48167722001,2019,1929,300,0
48167722002,2019,938,409,0
48167722100,2019,2549,8,0
48167722200,2019,943,174,0
48167722300,2019,2086,240,0
48167722600,2019,623,472,0
48167722700,2019,1758,165,0
48167722800,2019,1014,70,0
48167722900,2019,1102,131,0
48167723000,2019,1371,186,0
48167723100,2019,771,873,0
48167723200,2019,1584,251,0
48167723300,2019,2719,381,0
48167723401,2019,658,0,0
48167723402,2019,1488,0,0
48167723403,2019,1220,104,0
48167723501,2019,933,0,0
48167723503,2019,942,0,0
48167723504,2019,999,0,0
48167723505,2019,1081,0,0
48167723600,2019,2061,40,0
48167723700,2019,792,237,0
48167723800,2019,2495,93,0
48167723900,2019,4609,10,0
48167724000,2019,199,254,0
48167724101,2019,716,523,0
48167724200,2019,527,673,0
48167724300,2019,1268,92,0
48167724400,2019,1524,1,0
48167724500,2019,146,94,0
48167724600,2019,418,186,0
48167724700,2019,861,27,0
48167724800,2019,730,27,0
48167724900,2019,826,12,0
48167725000,2019,775,88,0
48167725100,2019,836,10,0
48167725200,2019,665,104,0
48167725300,2019,935,171,0
48167725400,2019,1566,58,0
48167725500,2019,599,45,0
48167725600,2019,305,1547,171
48167725700,2019,987,91,1
48167725800,2019,1178,841,0
48167725900,2019,338,744,0
48167726000,2019,2071,5,0
48167726101,2019,2724,20,0
48167726102,2019,2881,0,0
48167726200,2019,1157,42,0
48167990000,2019,2,0,0
48167990100,2019,145,8,0
48201100001,2019,3,5097,0
48201210400,2019,1027,603,0
48201210500,2019,1471,290,0
48201210600,2019,1958,267,0
48201210700,2019,944,113,0
48201210800,2019,922,844,0
48201210900,2019,644,117,0
48201211000,2019,709,250,0
48201211101,2019,1214,217,0
48201211102,2019,796,126,0
48201211200,2019,999,381,0
48201211301,2019,740,507,0
48201211302,2019,941,237,0
48201211400,2019,1576,323,0
48201211501,2019,975,154,0
48201211502,2019,839,40,0
48201211600,2019,965,78,0
48201211700,2019,1181,549,0
48201211900,2019,1117,134,0
48201212300,2019,1276,2321,0
48201212400,2019,1204,127,0
48201212500,2019,1389,47,0
48201220100,2019,679,156,0
48201220200,2019,932,92,0
48201220300,2019,1163,280,0
48201220400,2019,1119,158,0
48201220500,2019,633,431,0
48201220600,2019,786,49,0
48201220701,2019,723,82,0
48201220702,2019,838,159,0
48201220800,2019,608,298,0
48201220900,2019,499,177,0
48201221000,2019,949,193,0
48201221100,2019,1078,80,0
48201221200,2019,1672,72,0
48201221301,2019,1211,71,0
48201221302,2019,827,303,0
48201221400,2019,1046,257,0
48201221501,2019,869,39,1
48201221502,2019,208,53,1
48201221601,2019,684,226,0
48201221602,2019,1581,61,0
48201221701,2019,983,34,0
48201221702,2019,656,9,0
48201221800,2019,1080,24,0
48201221900,2019,1326,37,0
48201222000,2019,633,10,0
48201222100,2019,1295,45,0
48201222200,2019,737,292,0
48201222300,2019,1342,15,0
48201222401,2019,1180,89,0
48201222402,2019,1278,106,0
48201222501,2019,398,151,12
48201222502,2019,1230,244,33
48201222504,2019,196,126,32
48201222505,2019,545,346,87
48201222601,2019,12,508,0
48201222602,2019,3,791,0
48201222701,2019,80,137,0
48201222702,2019,234,170,0
48201222800,2019,809,39,0
48201222900,2019,2127,120,0
48201223001,2019,727,331,0
48201223002,2019,568,531,0
48201223100,2019,639,10,0
48201230100,2019,481,275,0
48201230200,2019,1941,270,0
48201230300,2019,873,87,0
48201230400,2019,1173,380,0
48201230500,2019,1277,178,8
48201230600,2019,1064,98,0
48201230700,2019,710,310,167
48201230800,2019,814,51,0
48201230900,2019,2210,42,0
48201231000,2019,1734,220,0
48201231100,2019,1757,44,0
48201231200,2019,1803,25,144
48201231300,2019,1607,289,0
48201231400,2019,1304,165,0
48201231500,2019,569,107,0
48201231600,2019,1102,13,1
48201231700,2019,1156,183,0
48201231800,2019,926,21,0
48201231900,2019,2276,8,0
48201232000,2019,1990,107,0
48201232100,2019,538,599,0
48201232201,2019,1259,375,0
48201232202,2019,1769,952,0
48201232203,2019,1104,806,0
48201232303,2019,1646,394,0
48201232304,2019,1915,258,0
48201232305,2019,2670,120,0
48201232306,2019,1080,51,0
48201232402,2019,583,98,0
48201232403,2019,598,262,0
48201232404,2019,1086,31,0
48201232405,2019,2405,558,0
48201232500,2019,960,80,0
48201232600,2019,748,80,20
48201232701,2019,984,1325,258
48201232703,2019,271,509,129
48201232704,2019,684,143,0
48201232801,2019,401,594,1
48201232802,2019,422,586,0
48201232901,2019,805,938,151
48201232902,2019,406,473,78
48201233001,2019,615,192,25
48201233002,2019,1237,107,0
48201233003,2019,730,64,0
48201233101,2019,963,303,0
48201233103,2019,944,354,0
48201233104,2019,453,85,0
48201233105,2019,923,173,0
48201233200,2019,1591,347,0
48201233300,2019,913,282,3
48201233400,2019,660,174,0
48201233501,2019,402,45,0
48201233502,2019,431,48,0
48201233600,2019,1089,55,0
48201233701,2019,1927,126,0
48201233702,2019,1211,249,0
48201233703,2019,1186,151,0
48201240101,2019,3,1215,0
48201240102,2019,39,718,0
48201240400,2019,1770,621,0
48201240503,2019,40,686,0
48201240504,2019,78,1368,0
48201240505,2019,51,314,0
48201240506,2019,296,1678,0
48201240600,2019,150,765,0
48201240703,2019,1080,280,0
48201240704,2019,1120,399,0
48201240705,2019,1450,11,0
48201240706,2019,2484,207,0
48201240707,2019,1761,65,0
48201240802,2019,2227,150,0
48201240803,2019,333,1565,0
48201240804,2019,143,707,0
48201240903,2019,2019,210,0
48201240904,2019,2572,386,0
48201240905,2019,1162,135,0
48201240906,2019,2074,241,0
48201241001,2019,1180,206,0
48201241002,2019,1822,4,0
48201241101,2019,1568,2,1
48201241103,2019,1590,143,0
48201241104,2019,3282,34,0
48201241105,2019,1282,28,0
48201241201,2019,901,102,87
48201241202,2019,1685,179,154
48201241301,2019,1785,460,0
48201241302,2019,2363,500,4
48201241400,2019,3033,903,0
48201241501,2019,857,863,216
48201241502,2019,181,4,0
48201241503,2019,636,36,0
48201250101,2019,1361,203,0
48201250102,2019,1262,0,0
48201250201,2019,1767,128,0
48201250202,2019,499,232,0
48201250303,2019,785,258,0
48201250304,2019,2079,381,0
48201250305,2019,1769,271,0
48201250306,2019,1149,11,0
48201250403,2019,1384,482,0
48201250404,2019,1158,400,0
48201250405,2019,2405,3,0
48201250406,2019,1391,134,0
48201250407,2019,2871,191,0
48201250408,2019,3057,818,0
48201250500,2019,1815,515,0
48201250601,2019,458,1233,1
48201250602,2019,850,821,0
48201250701,2019,2461,139,0
48201250702,2019,1694,1,0
48201250801,2019,1109,80,0
48201250802,2019,1739,122,0
48201250901,2019,831,980,0
48201250902,2019,2153,12,0
48201251000,2019,782,926,0
48201251100,2019,2822,251,0
48201251200,2019,1979,255,0
48201251300,2019,2542,159,0
48201251401,2019,990,71,0
48201251402,2019,2054,276,0
48201251501,2019,2423,2,0
48201251503,2019,757,0,0
48201251504,2019,1709,33,0
48201251505,2019,1517,39,0
48201251600,2019,3313,6,0
48201251701,2019,1825,41,0
48201251702,2019,1736,42,0
48201251800,2019,737,11,0
48201251902,2019,2431,93,0
48201251903,2019,2083,0,0
48201251904,2019,2253,85,0
48201252001,2019,1801,299,0
48201252002,2019,1748,327,0
48201252003,2019,3804,2,0
48201252100,2019,1014,2,0
48201252201,2019,762,1213,0
48201252202,2019,1848,653,0
48201252303,2019,1233,41,0
48201252304,2019,1356,20,0
48201252305,2019,1859,0,0
48201252306,2019,1594,242,0
48201252400,2019,2034,77,0
48201252500,2019,1264,106,0
48201252601,2019,649,36,0
48201252602,2019,1589,62,0
48201252700,2019,1531,122,0
48201252800,2019,2832,49,0
48201252901,2019,1393,27,0
48201252902,2019,2003,17,0
48201253000,2019,1934,33,111
48201253101,2019,1837,280,0
48201253102,2019,2285,3,0
48201253201,2019,2320,2,0
48201253202,2019,960,805,0
48201253300,2019,1346,11,0
48201253501,2019,969,1264,0
48201253502,2019,934,465,0
48201253601,2019,815,1069,0
48201253602,2019,121,1483,0
48201253700,2019,1036,1543,0
48201253800,2019,2537,311,0
48201253900,2019,1095,729,0
48201254000,2019,865,791,0
48201254100,2019,1492,177,0
48201254200,2019,953,43,0
48201254300,2019,1341,595,0
48201254400,2019,959,92,0
48201254600,2019,1321,276,0
48201254700,2019,1082,313,0
48201254800,2019,791,95,0
48201310101,2019,863,644,0
48201310102,2019,421,666,0
48201310200,2019,1085,331,0
48201310300,2019,1145,1263,0
48201310400,2019,1028,544,0
48201310500,2019,973,763,0
48201310600,2019,1401,812,0
48201310700,2019,876,611,0
48201310800,2019,667,688,0
48201310900,2019,931,468,0
48201311001,2019,805,273,0
48201311002,2019,1124,231,0
48201311100,2019,1663,422,0
48201311200,2019,1066,559,0
48201311300,2019,1515,91,1
48201311400,2019,435,110,0
48201311501,2019,403,196,595
48201311502,2019,885,422,182
48201311600,2019,152,177,620
48201311701,2019,527,326,1
48201311702,2019,73,435,556
48201311800,2019,815,632,0
48201311900,2019,639,173,0
48201312000,2019,566,705,0
48201312200,2019,804,627,0
48201312300,2019,1016,492,0
48201312400,2019,860,461,0
48201312501,2019,741,783,0
48201312502,2019,237,1237,0
48201312601,2019,123,2000,0
48201312602,2019,419,684,0
48201312603,2019,575,1539,0
48201312700,2019,569,590,0
48201312800,2019,181,335,0
48201312901,2019,202,203,0
48201312902,2019,604,609,0
48201313000,2019,703,1233,0
48201313101,2019,209,1726,0
48201313102,2019,186,1551,0
48201313201,2019,522,354,2
48201313202,2019,786,689,35
48201313300,2019,978,208,0
48201313400,2019,791,469,0
48201313500,2019,808,219,0
48201313600,2019,1362,138,0
48201313700,2019,823,232,1
48201313801,2019,403,238,0
48201313802,2019,617,503,0
48201313901,2019,151,1655,0
48201313902,2019,0,1533,0
48201314001,2019,19,1724,0
48201314003,2019,0,1582,0
48201314004,2019,0,1207,0
48201314005,2019,125,1380,1
48201314301,2019,0,678,0
48201314302,2019,14,1513,0
48201314401,2019,1,1120,0
48201314402,2019,0,1299,0
48201320100,2019,378,492,53
48201320201,2019,366,413,0
48201320202,2019,613,896,0
48201320500,2019,1297,28,0
48201320601,2019,522,272,6
48201320602,2019,822,426,7
48201320700,2019,816,368,0
48201320800,2019,1156,179,0
48201320901,2019,737,382,0
48201320902,2019,927,486,0
48201321001,2019,431,375,0
48201321002,2019,1433,676,0
48201321101,2019,565,1228,0
48201321102,2019,1208,11,0
48201321200,2019,525,204,0
48201321301,2019,149,785,0
48201321302,2019,320,658,0
48201321401,2019,984,203,0
48201321402,2019,1093,592,0
48201321500,2019,340,300,0
48201321600,2019,1553,330,0
48201321700,2019,1085,437,0
48201321800,2019,1028,117,0
48201321900,2019,1288,1348,0
48201322000,2019,312,566,0
48201322100,2019,976,385,0
48201322200,2019,415,156,0
48201322600,2019,1818,477,0
48201322701,2019,634,237,0
48201322702,2019,848,100,0
48201322800,2019,1795,27,0
48201322900,2019,1073,90,0
48201323000,2019,370,1287,0
48201323100,2019,366,935,0
48201323200,2019,1404,292,0
48201323300,2019,489,783,0
48201323400,2019,1303,666,0
48201323500,2019,689,686,0
48201323601,2019,355,1215,0
48201323602,2019,1621,89,0
48201323701,2019,553,1462,0
48201323702,2019,609,661,0
48201323801,2019,1155,68,0
48201323802,2019,1111,337,0
48201323900,2019,590,187,0
48201324000,2019,1774,388,0
48201324101,2019,1158,371,0
48201324102,2019,17,6,0
48201324200,2019,576,60,0
48201330101,2019,1059,0,0
48201330102,2019,1168,0,0
48201330200,2019,1089,2,302
48201330301,2019,2045,123,0
48201330302,2019,1898,37,0
48201330303,2019,745,744,0
48201330400,2019,1331,69,1
48201330500,2019,1393,2,0
48201330600,2019,2178,6,0
48201330700,2019,2119,4,0
48201330801,2019,1354,228,0
48201330802,2019,3106,1440,0
48201330901,2019,2670,769,0
48201330902,2019,633,10,0
48201331100,2019,1614,219,0
48201331200,2019,1163,303,0
48201331300,2019,1903,66,0
48201331400,2019,59,310,0
48201331501,2019,1437,102,0
48201331502,2019,2232,72,0
48201331602,2019,879,218,0
48201331603,2019,1458,254,0
48201331604,2019,609,185,0
48201331700,2019,1512,364,0
48201331800,2019,1247,200,0
48201331900,2019,1240,133,1
48201332000,2019,1473,115,371
48201332100,2019,1014,11,41
48201332200,2019,1695,10,0
48201332300,2019,815,34,0
48201332400,2019,1770,19,0
48201332500,2019,1112,40,0
48201332600,2019,1598,529,0
48201332700,2019,735,119,0
48201332800,2019,689,861,0
48201332900,2019,980,782,21
48201333000,2019,881,212,3
48201333100,2019,362,868,132
48201333201,2019,641,620,537
48201333203,2019,497,826,6
48201333204,2019,10,682,0
48201333205,2019,9,558,0
48201333301,2019,237,1239,0
48201333302,2019,933,222,0
48201333501,2019,348,900,0
48201333502,2019,367,753,0
48201333600,2019,1122,107,0
48201333700,2019,859,46,0
48201333801,2019,728,395,0
48201333802,2019,1477,25,0
48201333903,2019,645,161,0
48201333904,2019,1124,976,0
48201333905,2019,1188,10,0
48201333906,2019,1434,1,0
48201334001,2019,395,754,0
48201334002,2019,4,1175,0
48201334003,2019,1566,860,0
48201334101,2019,1325,2554,3
48201334102,2019,2496,336,0
48201340101,2019,0,731,0
48201340102,2019,1265,207,0
48201340201,2019,5,163,0
48201340202,2019,2019,244,0
48201340203,2019,1280,658,0
48201340301,2019,1498,0,0
