Geo,Year,VanPropDiesel,VanPropGasoline,VanPropCng,BusPropDiesel,BusPropGasoline,BusPropCng,RailPropDiesel,RailPropGasoline
HGACMPO,2019,0,1,0,0.2,0,0.8,1,0
HGACMPO,2045,0,1,0,0.2,0,0.8,1,0
