Geo,Year,UrbanArea,TownArea,RuralArea
48039660100,2019,824.8371416,0,0.003979786
48039660200,2019,1064.687743,0,3019.349743
48039660301,2019,641.1319139,0,0.36765728
48039660302,2019,555.6751482,0,3.042945988
48039660303,2019,594.3321471,0,170.4135439
48039660401,2019,972.8369066,0,0
48039660402,2019,530.1533283,0,0
48039660403,2019,754.7855414,0,0
48039660501,2019,1561.944891,0,12.98709159
48039660502,2019,1257.96217,0,0
48039660503,2019,1437.998604,0,0
48039660504,2019,1122.529884,0,45.58851043
48039660603,2019,291.2099763,0,302.611355
48039660604,2019,276.7061947,0,15.13140914
48039660605,2019,389.6255374,0,7.182182265
48039660606,2019,287.6798215,0,0
48039660607,2019,474.6087842,0,0
48039660608,2019,443.5622584,0,9.585344604
48039660609,2019,517.4166257,0,0
48039660610,2019,1053.062127,0,0
48039660611,2019,689.6566574,0,97.89589421
48039660612,2019,660.6847205,0,0.575899915
48039660613,2019,193.0153352,0,1359.870576
48039660614,2019,915.9065047,0,4.042507456
48039660615,2019,778.2211984,0,1952.836388
48039660616,2019,526.6394959,0,572.2760488
48039660703,2019,514.6695467,0,0.215962999
48039660704,2019,701.8741113,0,0
48039660705,2019,699.6523648,0,0
48039660706,2019,494.1229752,0,26.56409224
48039660707,2019,884.462046,0,1.588680802
48039660708,2019,787.857442,0,6015.405631
48039660803,2019,858.0562696,0,0
48039660804,2019,489.4990649,0,0
48039660805,2019,988.6506871,0,0
48039660806,2019,500.8104726,0,30.41475994
48039660901,2019,514.3194364,0,4218.654606
48039660902,2019,2967.448304,0,2498.527506
48039661000,2019,2820.553653,0,6944.713898
48039661100,2019,1310.251458,0,1873.216034
48039661200,2019,663.3604994,0,6.188610222
48039661300,2019,637.0422861,0,1.739447906
48039661400,2019,1401.441774,0,10.72397731
48039661501,2019,1146.544803,0,7830.414971
48039661502,2019,351.8565569,0,14748.70919
48039661601,2019,2074.274099,0,3262.3799
48039661602,2019,765.6365539,0,6858.549433
48039661700,2019,0.886043992,0,72724.13027
48039661800,2019,0.980782431,0,37954.04601
48039661901,2019,0,0,37062.61909
48039661902,2019,534.3156408,0,31602.68821
48039662000,2019,0,0,88850.86289
48039662100,2019,817.2733787,0,24181.22774
48039662200,2019,1087.567414,0,21183.33864
48039662300,2019,662.0858947,0,0.01223791
48039662400,2019,606.1806114,0,20811.89444
48039662500,2019,170.7732933,0,19241.13215
48039662600,2019,0,0,6435.2186
48039662700,2019,0,0,42558.49913
48039662800,2019,0,0,29149.79381
48039662900,2019,0,0,11760.76611
48039663000,2019,0.054218488,0,13853.93699
48039663100,2019,1846.277408,0,16564.69451
48039663200,2019,765.0694889,0,5.189572973
48039663300,2019,425.5054537,0,0.99217098
48039663400,2019,1187.291815,0,264.0765544
48039663500,2019,647.4083538,0,1.67455327
48039663600,2019,1107.579254,0,3.815202102
48039663700,2019,696.7569949,0,0.434638009
48039663800,2019,1059.608445,0,0
48039663900,2019,635.5152132,0,2.829836012
48039664000,2019,669.8397948,0,5819.861189
48039664100,2019,1203.887757,0,24023.95624
48039664200,2019,5198.164797,0,9666.575504
48039664300,2019,1168.791342,0,63.89996097
48039664400,2019,1236.891987,0,6238.717802
48039664501,2019,15.94147366,0,35903.75684
48039990000,2019,0,0,0.026433239
48071710100,2019,450.6306635,0,20649.68392
48071710201,2019,4175.454887,0,5756.755862
48071710202,2019,4142.786894,0,20086.3062
48071710300,2019,1.026960486,0,47161.85963
48071710401,2019,0,0,84452.96107
48071710500,2019,0.066949374,0,126420.426
48071710600,2019,0.874642891,0,1360.795318
48071990000,2019,0,0,0.144650043
48157670101,2019,668.672937,0,1.834500395
48157670102,2019,225.3784411,0,1.77446217
48157670201,2019,208.9416268,0,0.072059682
48157670202,2019,429.0934054,0,0
48157670300,2019,580.7250315,0,0.680103163
48157670400,2019,489.4507395,0,0
48157670500,2019,1007.485383,0,0
48157670602,2019,568.0153002,0,1.932402315
48157670603,2019,487.8779793,0,0.027005803
48157670604,2019,350.0883563,0,0
48157670700,2019,2152.468789,0,4437.640634
48157670801,2019,865.8659439,0,141.6990679
48157670802,2019,634.2076528,0,0.050005116
48157670803,2019,684.0941714,0,0.000730215
48157670804,2019,670.4334396,0,0
48157670902,2019,2339.748257,0,58.65321143
48157670903,2019,1245.154487,0,0.08336103
48157670904,2019,918.784528,0,0.101091881
48157671001,2019,690.660827,0,0
48157671002,2019,566.7698909,0,1.13696089
48157671101,2019,323.8579758,0,0
48157671102,2019,934.8599049,0,0
48157671200,2019,620.2742852,0,0
48157671300,2019,511.0865814,0,0
48157671401,2019,317.3358973,0,0
48157671402,2019,375.3638388,0,0
48157671501,2019,726.704262,0,0
48157671502,2019,284.8776976,0,0
48157671601,2019,492.8338736,0,0
48157671602,2019,314.1990844,0,0
48157671700,2019,971.8303313,0,0
48157671800,2019,2739.900669,0,0
48157671900,2019,382.9834341,0,0
48157672002,2019,525.9863717,0,0
48157672003,2019,1403.063404,0,0
48157672004,2019,572.1504546,0,0
48157672100,2019,1181.186222,0,0
48157672201,2019,717.973099,0,0
48157672202,2019,513.2929149,0,0
48157672303,2019,244.7125556,0,0
48157672304,2019,473.8962541,0,0
48157672305,2019,390.8908355,0,0
48157672306,2019,327.5494304,0,0
48157672401,2019,247.9297275,0,0
48157672402,2019,580.3164127,0,0
48157672500,2019,490.5137373,0,0
48157672602,2019,397.9799198,0,0
48157672603,2019,263.4670356,0,0
48157672604,2019,430.6506746,0,0
48157672701,2019,637.9657056,0,0
48157672702,2019,615.3343163,0,0
48157672703,2019,1692.085084,0,0
48157672801,2019,390.3986376,0,0
48157672802,2019,1344.885259,0,6.790230525
48157672901,2019,2014.956847,0,369.5956283
48157672902,2019,823.5493458,0,180.6877346
48157672903,2019,1372.320654,0,640.6750982
48157672904,2019,1608.232415,0,0
48157672905,2019,604.156841,0,0.050286
48157672906,2019,585.3649716,0,0.065958275
48157672907,2019,1294.130779,0,0.014739175
48157673004,2019,287.8556907,0,0
48157673005,2019,438.1102069,0,0
48157673006,2019,500.0220331,0,0.208844225
48157673007,2019,312.1206294,0,24.6601723
48157673008,2019,412.0725273,0,0
48157673009,2019,474.4800372,0,0
48157673010,2019,337.1329157,0,0
48157673103,2019,1550.690385,0,0
48157673104,2019,632.3506689,0,0
48157673105,2019,249.5641481,0,0
48157673106,2019,697.7465928,0,0
48157673107,2019,978.1207117,0,0
48157673108,2019,2183.260208,0,1020.289629
48157673109,2019,939.0111565,0,3.800733654
48157673110,2019,566.201321,0,2.92709235
48157673111,2019,800.4456952,0,1.725950917
48157673112,2019,1051.349276,0,0.018392456
48157673113,2019,687.0213551,0,0
48157673201,2019,735.8964939,0,1644.262385
48157673202,2019,2.224742974,0,26153.93324
48157673300,2019,47.69694272,0,29420.00633
48157673401,2019,1304.125046,0,4763.843222
48157673402,2019,415.4852967,0,3232.878351
48157673403,2019,1211.48575,0,1.411596605
48157673404,2019,1968.135341,0,7138.511994
48157673501,2019,1597.358711,0,7.308696538
48157673502,2019,479.5965212,0,1.670613917
