Geo,Year,D3bpo4
48039660100,2019,32.55931728
48039660200,2019,26.17036815
48039660301,2019,99.68319367
48039660302,2019,31.04213366
48039660303,2019,20.44416101
48039660401,2019,28.23027177
48039660402,2019,16.24289291
48039660403,2019,28.92557441
48039660501,2019,22.92615247
48039660502,2019,39.70291942
48039660503,2019,131.1736721
48039660504,2019,36.96208827
48039660603,2019,46.19254118
48039660604,2019,5.598352435
48039660605,2019,6.777600909
48039660606,2019,4.605588428
48039660607,2019,28.50668802
48039660608,2019,21.80936647
48039660609,2019,25.32456278
48039660610,2019,157.9018713
48039660611,2019,13.28496512
48039660612,2019,32.08571436
48039660613,2019,10.4292453
48039660614,2019,5.827246181
48039660615,2019,10.69970202
48039660616,2019,6.58726938
48039660703,2019,32.63072316
48039660704,2019,14.35868365
48039660705,2019,12.28529407
48039660706,2019,17.64821737
48039660707,2019,7.038231499
48039660708,2019,16.81555925
48039660803,2019,21.98521162
48039660804,2019,70.79174618
48039660805,2019,28.20098508
48039660806,2019,33.79548645
48039660901,2019,2.463652198
48039660902,2019,21.35642562
48039661000,2019,21.16108466
48039661100,2019,26.45286234
48039661200,2019,101.7886128
48039661300,2019,877.2578088
48039661400,2019,339.3589864
48039661501,2019,44.72846045
48039661502,2019,8.103016633
48039661601,2019,15.32303297
48039661602,2019,4.106175242
48039661700,2019,3.197700156
48039661800,2019,4.645309073
48039661901,2019,3.795139978
48039661902,2019,4.787101584
48039662000,2019,22.29338324
48039662100,2019,81.82884184
48039662200,2019,73.92750224
48039662300,2019,286.9963821
48039662400,2019,173.5432805
48039662500,2019,59.43847477
48039662600,2019,8.974631889
48039662700,2019,1.873534011
48039662800,2019,133.4810226
48039662900,2019,51.62933699
48039663000,2019,55.25159403
48039663100,2019,8.548470505
48039663200,2019,47.69451677
48039663300,2019,171.3084825
48039663400,2019,51.06033322
48039663500,2019,30.87377874
48039663600,2019,31.69009172
48039663700,2019,16.53484903
48039663800,2019,25.82728407
48039663900,2019,15.3074358
48039664000,2019,4.539801104
48039664100,2019,11.99454991
48039664200,2019,47.39889563
48039664300,2019,287.0874648
48039664400,2019,202.9819173
48039664501,2019,1.211552374
48039990000,2019,0.003138606
48071710100,2019,18.6674751
48071710201,2019,4.917930683
48071710202,2019,1.571770005
48071710300,2019,3.516556457
48071710401,2019,44.75140904
48071710500,2019,64.35560471
48071710600,2019,0.014518085
48071990000,2019,0.005186355
48157670101,2019,23.21683801
48157670102,2019,14.73320761
48157670201,2019,10.17759221
48157670202,2019,44.37654499
48157670300,2019,23.53586082
48157670400,2019,15.15137653
48157670500,2019,59.96475086
48157670602,2019,13.15833238
48157670603,2019,28.54254543
48157670604,2019,42.94521639
48157670700,2019,29.78967389
48157670801,2019,32.2220492
48157670802,2019,13.7275616
48157670803,2019,26.73599519
48157670804,2019,56.80570685
48157670902,2019,28.9052062
48157670903,2019,21.26985202
48157670904,2019,25.44647827
48157671001,2019,26.90673005
48157671002,2019,84.85618209
48157671101,2019,7.079430733
48157671102,2019,39.59215224
48157671200,2019,48.31488177
48157671300,2019,23.38962449
48157671401,2019,5.904444398
48157671402,2019,11.47295422
48157671501,2019,13.63330482
48157671502,2019,40.65333832
48157671601,2019,91.13951379
48157671602,2019,33.09805725
48157671700,2019,27.99765517
48157671800,2019,47.55407228
48157671900,2019,32.85807035
48157672002,2019,65.55530212
48157672003,2019,19.92396439
48157672004,2019,22.6582751
48157672100,2019,53.29107488
48157672201,2019,7.783742326
48157672202,2019,3.126531373
48157672303,2019,22.07504876
48157672304,2019,22.40942166
48157672305,2019,21.45184072
48157672306,2019,8.958189788
48157672401,2019,28.09666341
48157672402,2019,21.03597347
48157672500,2019,12.03981548
48157672602,2019,19.3401103
48157672603,2019,25.53941998
48157672604,2019,31.26391776
48157672701,2019,15.04667322
48157672702,2019,32.97049977
48157672703,2019,25.09908199
48157672801,2019,5.259072687
48157672802,2019,5.872957969
48157672901,2019,36.81700553
48157672902,2019,28.12028728
48157672903,2019,13.77171462
48157672904,2019,19.60742219
48157672905,2019,6.401982977
48157672906,2019,7.966929075
48157672907,2019,13.5839063
48157673004,2019,16.92872073
48157673005,2019,38.64815544
48157673006,2019,6.462911869
48157673007,2019,5.492182405
48157673008,2019,28.79372382
48157673009,2019,19.34382444
48157673010,2019,21.36589668
48157673103,2019,14.13613271
48157673104,2019,29.97255998
48157673105,2019,28.47966504
48157673106,2019,68.24854723
48157673107,2019,41.97291753
48157673108,2019,111.8607047
48157673109,2019,25.34338656
48157673110,2019,25.92354083
48157673111,2019,12.85337998
48157673112,2019,49.74807379
48157673113,2019,41.79595876
48157673201,2019,9.974264534
48157673202,2019,38.12885411
48157673300,2019,3.077323507
48157673401,2019,15.89208869
48157673402,2019,9.029047852
48157673403,2019,4.722565959
48157673404,2019,18.70110033
48157673501,2019,12.33069831
48157673502,2019,2.557802368
48157673600,2019,3.386453026
48157673700,2019,0.649871073
48157673801,2019,9.433104661
48157673802,2019,6.113633619
48157673902,2019,159.4124217
48157673903,2019,15.52388375
48157673904,2019,13.01880186
48157674001,2019,69.83101543
48157674002,2019,187.804734
48157674100,2019,103.3677827
48157674200,2019,47.05271892
48157674301,2019,39.84768269
48157674302,2019,67.27371321
48157674401,2019,43.74578972
48157674402,2019,7.998152778
48157674403,2019,10.7700577
48157674404,2019,22.24575769
48157674503,2019,15.402083
48157674504,2019,3.830009291
48157674505,2019,3.976822711
48157674506,2019,21.53330943
48157674507,2019,53.43543162
48157674508,2019,27.6005449
48157674601,2019,10.10923698
48157674602,2019,7.001563917
48157674603,2019,9.142818064
48157674604,2019,15.98449169
48157674701,2019,21.18807989
48157674702,2019,174.0827749
48157674800,2019,157.6228407
48157674900,2019,17.8852318
48157675000,2019,153.7990979
48157675101,2019,125.7288625
48157675102,2019,86.34888763
48157675200,2019,300.5619888
48157675300,2019,269.0111332
48157675401,2019,3.518461198
48157675402,2019,16.24258728
48157675501,2019,5.682799902
48157675502,2019,7.449059235
48157675503,2019,13.38980854
48157675600,2019,4.083357652
48157675701,2019,3.093613419
48157675702,2019,10.04774139
48157675800,2019,3.503462034
48167720100,2019,15.33852578
48167720200,2019,18.10040049
48167720301,2019,18.65976372
48167720302,2019,16.35456321
48167720400,2019,8.817143488
48167720501,2019,12.42884017
48167720504,2019,11.64912498
48167720505,2019,7.067817485
48167720506,2019,8.561556218
48167720507,2019,9.300447606
48167720508,2019,3.604572914
48167720509,2019,5.303956611
48167720510,2019,6.212368971
48167720511,2019,4.859170577
48167720512,2019,2.670372291
48167720601,2019,18.20841558
48167720602,2019,16.43740312
48167720603,2019,7.991374277
48167720604,2019,15.83666237
48167720605,2019,3.50967988
48167720701,2019,48.24724867
48167720702,2019,34.96843191
48167720703,2019,21.31604538
48167720800,2019,125.2724867
48167720900,2019,90.38726294
48167721000,2019,8.221324346
48167721101,2019,32.61056501
48167721102,2019,58.58097822
48167721103,2019,8.490132046
48167721203,2019,7.731838414
48167721204,2019,11.43103285
48167721205,2019,12.91514
48167721206,2019,15.15656469
48167721207,2019,16.44256789
48167721208,2019,6.354069256
48167721209,2019,15.74025268
48167721210,2019,4.315682663
48167721211,2019,6.64829545
48167721301,2019,25.75062667
48167721302,2019,4.073325437
48167721401,2019,39.07916563
48167721402,2019,3.62530378
48167721403,2019,8.394268443
48167721501,2019,4.007175153
48167721502,2019,10.91596006
48167721503,2019,51.28988583
48167721600,2019,39.65884967
48167721701,2019,39.67967411
48167721702,2019,32.41760681
48167721703,2019,36.04704584
48167721800,2019,127.0162957
48167721901,2019,1.882276971
48167721902,2019,86.08934526
48167722001,2019,47.83719521
48167722002,2019,25.61939329
48167722100,2019,264.8190386
48167722200,2019,336.4908188
48167722300,2019,288.892975
48167722600,2019,2.979029179
48167722700,2019,49.8187443
48167722800,2019,37.25567265
48167722900,2019,14.99366878
48167723000,2019,30.11296536
48167723100,2019,6.437992177
48167723200,2019,9.979306229
48167723300,2019,31.55090025
48167723401,2019,3.398344273
48167723402,2019,6.72606971
48167723403,2019,14.88765979
48167723501,2019,14.00163733
48167723503,2019,7.30860909
48167723504,2019,20.92986983
48167723505,2019,6.799793009
48167723600,2019,20.38142345
48167723700,2019,12.78303658
48167723800,2019,20.07249862
48167723900,2019,22.40503801
48167724000,2019,262.6586282
48167724101,2019,515.8802618
48167724200,2019,75.36042718
48167724300,2019,1345.407973
48167724400,2019,1337.159266
48167724500,2019,1872.499028
48167724600,2019,359.5626111
48167724700,2019,581.460007
48167724800,2019,648.6625958
48167724900,2019,290.0625898
48167725000,2019,499.769418
48167725100,2019,921.3126429
48167725200,2019,515.9236675
48167725300,2019,410.3867928
48167725400,2019,803.4989462
48167725500,2019,240.5407394
48167725600,2019,374.4958848
48167725700,2019,36.22455345
48167725800,2019,232.2259632
48167725900,2019,41.96732074
48167726000,2019,19.63231908
48167726101,2019,37.88638364
48167726102,2019,23.29381671
48167726200,2019,125.3021136
48167990000,2019,0.30603141
48167990100,2019,10.12809967
48201100001,2019,443.1877228
48201210400,2019,251.7114156
48201210500,2019,262.8418311
48201210600,2019,216.0686209
48201210700,2019,92.71357302
48201210800,2019,317.8180561
48201210900,2019,56.44347077
48201211000,2019,33.29999736
48201211101,2019,212.2956955
48201211102,2019,136.6748245
48201211200,2019,95.29357709
