Geo,Year,DRRevMi,VPRevMi,MBRevMi,RBRevMi,MGRevMi,SRRevMi,HRRevMi,CRRevMi
HGACMPO,2019,22771513,7941973,37402175,10936737,0,0,3482906,0
HGACMPO,2045,22771513,7941973,37402175,10936737,0,0,3482906,0
