Geo,Year,TotEmp,RetEmp,SvcEmp
3594,2045,658,334,316
3595,2045,702,199,445
3596,2045,45,3,42
3597,2045,470,182,272
3598,2045,193,39,134
3599,2045,261,112,134
3600,2045,311,202,109
3601,2045,277,134,132
3602,2045,14,2,9
3603,2045,881,205,570
3604,2045,347,202,132
3605,2045,40,8,15
3606,2045,426,178,241
3607,2045,2145,13,2035
3608,2045,1871,681,1099
3609,2045,795,204,465
3610,2045,1500,411,605
3611,2045,262,237,25
3612,2045,268,117,143
3613,2045,829,83,585
3614,2045,4744,4000,626
3615,2045,424,70,351
3616,2045,235,191,44
3617,2045,21,2,19
3618,2045,305,180,102
3619,2045,202,0,202
3620,2045,783,534,245
3621,2045,463,84,374
3622,2045,875,338,515
3623,2045,40,25,15
3624,2045,118,51,52
3625,2045,1456,777,537
3626,2045,52,0,50
3627,2045,132,33,60
3628,2045,946,396,508
3629,2045,296,14,280
3630,2045,845,405,439
3631,2045,176,140,35
3632,2045,79,48,31
3633,2045,298,59,228
3634,2045,243,84,113
3635,2045,701,125,373
3636,2045,1278,441,654
3638,2045,315,76,132
3639,2045,480,349,121
3640,2045,286,230,56
3641,2045,286,32,124
3642,2045,264,21,224
3643,2045,139,85,46
3644,2045,153,88,62
3645,2045,3024,1835,1085
3646,2045,549,186,290
3648,2045,308,126,176
3649,2045,255,58,197
3650,2045,702,177,237
3651,2045,614,395,212
3652,2045,678,61,616
3653,2045,894,541,343
3654,2045,42,12,29
3655,2045,607,334,267
3656,2045,236,70,154
3657,2045,418,125,293
3658,2045,134,5,45
3659,2045,3,0,0
3660,2045,40,2,3
3661,2045,401,347,54
3662,2045,737,122,526
3663,2045,22,6,16
3664,2045,841,189,604
3665,2045,175,20,131
3666,2045,61,12,43
3667,2045,428,188,153
3668,2045,603,223,319
3669,2045,965,501,261
3670,2045,1334,834,459
3671,2045,599,274,124
3672,2045,652,306,305
3673,2045,0,0,0
3674,2045,132,3,114
3675,2045,128,3,110
3676,2045,149,78,66
3677,2045,0,0,0
3678,2045,142,4,104
3679,2045,0,0,0
3680,2045,456,406,49
3681,2045,0,0,0
3682,2045,19,6,12
3683,2045,0,0,0
3684,2045,118,0,12
3685,2045,394,51,339
3686,2045,534,174,167
3687,2045,686,177,269
3688,2045,1159,261,28
3689,2045,587,258,307
3690,2045,246,142,104
3691,2045,178,25,123
3692,2045,550,489,61
3693,2045,0,0,0
3694,2045,2,0,2
3695,2045,137,4,122
3696,2045,1310,2,1249
3697,2045,300,152,141
3698,2045,491,73,385
3699,2045,2017,229,981
3700,2045,1816,62,595
3701,2045,408,98,215
3702,2045,332,302,24
3703,2045,228,32,48
3704,2045,172,30,132
3705,2045,0,0,0
3706,2045,182,100,81
3707,2045,101,41,52
3708,2045,1174,82,1075
3709,2045,1011,827,184
3710,2045,95,3,89
3711,2045,2980,443,2238
3712,2045,467,244,223
3713,2045,552,238,288
3714,2045,712,315,342
3715,2045,658,407,138
3716,2045,210,157,42
3717,2045,734,103,605
3718,2045,518,28,463
3719,2045,0,0,0
3720,2045,7,2,4
3721,2045,3,3,0
3722,2045,2695,136,2291
3723,2045,3472,338,2985
3724,2045,586,148,436
3725,2045,483,155,262
