Geo,Year,VanPropIcev,VanPropHev,VanPropBev,BusPropIcev,BusPropHev,BusPropBev,RailPropIcev,RailPropHev,RailPropEv
HGACMPO,2019,1,0,0,1,0,0,0,0,1
HGACMPO,2045,1,0,0,1,0,0,0,0,1
