Geo,Year,D3bpo4
24,2019,56.68552155
27,2019,20.62706226
29,2019,20.62784589
32,2019,20.62786854
34,2019,190.1403743
37,2019,41.25571515
42,2019,41.1410153
44,2019,61.76978159
60,2019,187.9160492
74,2019,32.45776705
96,2019,1.19348566
98,2019,29.61373881
105,2019,52.60871173
122,2019,3.885918493
123,2019,61.79302239
124,2019,3.885923435
127,2019,30.86680686
148,2019,34.98965974
150,2019,11.47855077
155,2019,10.13905699
157,2019,0
158,2019,0
159,2019,4.941059753
169,2019,0
172,2019,4.815502229
173,2019,5.907255142
181,2019,5.110072819
187,2019,23.30745633
188,2019,7.771842233
189,2019,8.052490525
191,2019,23.3389197
192,2019,4.258854324
198,2019,46.63105762
204,2019,16.93782893
208,2019,31.08736398
213,2019,23.32444579
216,2019,28.99834192
221,2019,41.46863459
233,2019,8.717304933
234,2019,0
258,2019,49.79526236
261,2019,50.83103059
264,2019,51.18702613
265,2019,71.45235585
267,2019,36.95828409
268,2019,36.95824916
270,2019,71.92235498
271,2019,36.95829617
272,2019,36.95827098
276,2019,36.95828861
278,2019,36.95829224
280,2019,79.05000816
282,2019,77.34636781
283,2019,41.84566521
284,2019,42.04688192
285,2019,63.52706089
286,2019,50.94597656
287,2019,60.57316797
288,2019,57.28291877
289,2019,54.24461104
290,2019,1.8293269
291,2019,0
292,2019,49.64448378
293,2019,1.53754741
294,2019,52.29277537
297,2019,114.1481728
298,2019,0.035648666
301,2019,72.25250278
303,2019,238.3227087
305,2019,0.02532862
307,2019,0
308,2019,0
309,2019,0
310,2019,0
312,2019,0
313,2019,1.196517116
314,2019,100.9992894
316,2019,0
318,2019,0
319,2019,98.39855183
320,2019,54.48285282
321,2019,187.0173094
322,2019,57.5925975
323,2019,11.68993075
324,2019,11.91398302
325,2019,73.28694097
326,2019,143.7248776
327,2019,82.80353441
328,2019,11.78264933
329,2019,82.13030324
330,2019,61.56810458
331,2019,61.70623661
332,2019,52.49365369
333,2019,8.558924417
334,2019,162.3891732
335,2019,149.2407304
336,2019,68.97756312
337,2019,50.58506373
338,2019,72.58464928
339,2019,72.04421467
340,2019,227.5965409
341,2019,224.3776174
342,2019,165.8147724
343,2019,170.3396513
344,2019,83.21104054
345,2019,125.4979687
347,2019,69.47426724
348,2019,96.4742948
349,2019,96.15561263
350,2019,57.45727878
351,2019,17.57176122
352,2019,51.23914322
353,2019,53.75790194
354,2019,40.17366
355,2019,40.20323075
356,2019,60.87592309
357,2019,54.82820863
358,2019,53.09693232
359,2019,111.5086699
360,2019,88.49924021
361,2019,135.7229342
362,2019,136.4467522
363,2019,12.77560567
364,2019,10.59692731
365,2019,39.70473232
366,2019,38.85925117
367,2019,27.79670021
368,2019,22.96643407
369,2019,39.01876056
370,2019,54.08192025
371,2019,164.33636
373,2019,171.1388132
374,2019,67.20237899
375,2019,103.8635814
376,2019,180.9909773
378,2019,30.30160708
379,2019,30.22616605
380,2019,49.00541597
381,2019,30.22597887
382,2019,29.15613325
383,2019,137.0309409
384,2019,107.8219307
385,2019,107.2107572
386,2019,9.755831554
387,2019,35.33759046
388,2019,29.85359728
389,2019,10.25956815
390,2019,35.69856908
391,2019,114.0524262
392,2019,167.7082462
393,2019,80.88685817
394,2019,97.6450472
395,2019,106.0630817
396,2019,106.1833414
397,2019,74.57277955
398,2019,72.17568106
399,2019,108.5860826
400,2019,122.368652
401,2019,132.2800097
402,2019,75.30495179
403,2019,98.97277309
404,2019,46.33270994
405,2019,121.2170458
406,2019,76.58511265
407,2019,36.35220203
408,2019,36.55072613
409,2019,169.9269924
410,2019,112.5968176
411,2019,97.20290876
412,2019,127.8471311
413,2019,83.84832922
414,2019,97.06801147
415,2019,70.64460366
416,2019,40.55058477
417,2019,35.2361245
418,2019,115.9095418
419,2019,23.34616306
420,2019,22.55373031
422,2019,51.73115491
423,2019,24.03029356
424,2019,8.642858503
425,2019,8.962688676
426,2019,30.36728397
427,2019,12.25718746
428,2019,25.38845303
429,2019,61.48837579
430,2019,25.45597781
431,2019,25.22437428
432,2019,4.829976246
433,2019,12.09137015
434,2019,15.08392863
435,2019,0.624464486
436,2019,42.64598598
437,2019,39.13645089
438,2019,35.40392846
439,2019,168.5983191
440,2019,14.38096745
441,2019,21.23779739
442,2019,14.93050499
443,2019,29.83866728
444,2019,16.74559796
445,2019,58.18995657
447,2019,26.66152258
449,2019,64.21872954
