Geo,Year,D4c
24,2019,544.5815936
27,2019,220.6574617
29,2019,220.6598404
32,2019,220.6600827
34,2019,1858.524243
37,2019,441.3199309
42,2019,440.9452555
44,2019,661.6081847
60,2019,1982.269916
74,2019,2449.111866
96,2019,1978.100379
98,2019,1261.70305
105,2019,934.4270199
122,2019,89.32992679
123,2019,661.684035
124,2019,89.33004039
127,2019,330.7449547
148,2019,804.023537
150,2019,1120.423787
155,2019,535.5772041
157,2019,141.6697896
158,2019,283.3399159
159,2019,420.0995402
169,2019,566.6800845
172,2019,845.1117723
173,2019,843.9988981
181,2019,85.47833905
187,2019,348.0091484
188,2019,178.6599742
189,2019,177.7771343
191,2019,536.0562573
192,2019,89.04272435
198,2019,1071.959942
204,2019,356.2472506
208,2019,714.639783
213,2019,536.0091984
216,2019,531.6064512
221,2019,894.2488421
233,2019,1549.169962
234,2019,141.6700021
258,2019,2211.974838
261,2019,46.47610522
264,2019,44.99999671
265,2019,207.6885926
267,2019,103.9999981
268,2019,103.9998998
270,2019,207.7480313
271,2019,104.0000321
272,2019,103.9999612
276,2019,104.0000108
278,2019,104.000021
280,2019,196.9154498
282,2019,200.5941699
283,2019,93.44671798
284,2019,93.00659019
285,2019,38.58299436
286,2019,45.99981769
287,2019,40.22863779
288,2019,126.9549393
289,2019,128.3985115
290,2019,100.3103715
291,2019,99.32997871
292,2019,125.8841891
293,2019,199.484121
294,2019,127.3523866
297,2019,69.76990639
298,2019,99.34920585
301,2019,307.1424349
303,2019,594.7726023
305,2019,99.34354294
307,2019,99.32997383
308,2019,198.6599891
309,2019,99.32993839
310,2019,198.660059
312,2019,99.33001955
313,2019,197.9740065
314,2019,190.9820552
316,2019,198.6599681
318,2019,198.6599498
319,2019,196.7116676
320,2019,47.59029852
321,2019,485.9659623
322,2019,41.0184746
323,2019,90.00842695
324,2019,89.71859938
325,2019,61.00520753
326,2019,8.010792221
327,2019,8.068468671
328,2019,11.92349214
329,2019,8.046855108
330,2019,16.9470018
331,2019,16.99997651
332,2019,16.99719833
333,2019,15.12007594
334,2019,8.924103041
335,2019,6.381841822
336,2019,9.338904994
337,2019,10.19478431
338,2019,11.002204
339,2019,11.91050036
340,2019,13.50450825
341,2019,11.95151564
342,2019,32.68450398
343,2019,25.63818424
344,2019,12.65222128
345,2019,13.01684717
347,2019,25.06363847
348,2019,44.01764005
349,2019,43.86045235
350,2019,6.995295411
351,2019,4.101256456
352,2019,34.70110986
353,2019,36.65008539
354,2019,14.99879496
355,2019,15.01624251
356,2019,19.00153049
357,2019,12.01679761
358,2019,12.01108442
359,2019,9.262720141
360,2019,4.003220714
361,2019,9.723249577
362,2019,6.389222922
363,2019,9.499419599
364,2019,11.58275565
365,2019,10.29150483
366,2019,10.3066852
367,2019,16.73700398
368,2019,16.62966713
369,2019,15.37093736
370,2019,16.1612921
371,2019,66.42309048
373,2019,6.795857662
374,2019,44.66999634
375,2019,31.25633869
376,2019,3.0000048
378,2019,17.32924684
379,2019,17.32999301
380,2019,16.09567605
381,2019,17.32999873
382,2019,22.25175167
383,2019,19.23748134
384,2019,14.99097863
385,2019,15.01855143
386,2019,65.4196481
387,2019,8.035358314
388,2019,6.146417981
389,2019,65.19656876
390,2019,8.055524907
391,2019,3.800612627
392,2019,10.07380813
393,2019,16.82763881
394,2019,15.6043991
395,2019,7.530330727
396,2019,10.00081155
397,2019,9.393868776
398,2019,6.531804468
399,2019,5.581436932
400,2019,5.671553552
401,2019,5.642469831
402,2019,4.849574655
403,2019,4.628518011
404,2019,3.893895197
405,2019,8.295509742
406,2019,9.353116004
407,2019,7.120180392
408,2019,6.992208712
409,2019,3.985381982
410,2019,6.659840903
411,2019,8.467010429
412,2019,11.41806444
413,2019,7.498369493
414,2019,7.049140076
415,2019,10.15255995
416,2019,11.37362566
417,2019,10.99246219
418,2019,5.877334511
419,2019,64.72350585
420,2019,64.77834285
422,2019,126.8360319
423,2019,64.37124704
424,2019,12.2783037
425,2019,13.33052842
426,2019,58.0549673
427,2019,11.00420171
428,2019,9.984966781
429,2019,9.236455291
430,2019,6.018861762
431,2019,6.099353859
432,2019,6.772792993
433,2019,7.004842968
434,2019,6.393830733
435,2019,5.070602117
436,2019,8.860577005
437,2019,9.820673499
438,2019,8.865352445
439,2019,10.29235181
440,2019,14.66999925
441,2019,14.41302737
442,2019,14.61542243
443,2019,13.68953642
444,2019,14.48087823
445,2019,211.84118
447,2019,63.03616677
449,2019,197.6758787
450,2019,32.78381529
451,2019,29.36277789
452,2019,28.9812556
453,2019,29.10606284
454,2019,30.98906413
455,2019,14.68575832
456,2019,12.85997069
457,2019,15.59082882
458,2019,11.26814867
459,2019,15.44116713
460,2019,17.37222324
461,2019,18.59916206
462,2019,13.15341924
463,2019,12.11277861
464,2019,8.832641566
465,2019,10.14061906
466,2019,15.00183528
467,2019,13.43570391
468,2019,14.00000419
469,2019,12.37937232
470,2019,10.93957524
471,2019,7.122862367
472,2019,6.517892532
473,2019,9.378142678
474,2019,9.502926816
475,2019,9.329999003
476,2019,9.322060359
477,2019,18.81590685
478,2019,9.005936171
480,2019,31.34325128
482,2019,22.32748383
483,2019,57.85297325
484,2019,8.478591715
485,2019,8.000076217
486,2019,17.87532699
487,2019,6.049194929
490,2019,30.58581549
491,2019,18.80935851
492,2019,6.434667354
493,2019,6.373662168
494,2019,24.66420158
495,2019,9.625744649
496,2019,9.67544232
